,algorithm_of_vehicle_classification,algorithm_of_vehicle_classification_name,calibration_of_weighing_system,calibration_of_weighing_system_name,classification_system_for_vehicle_classification,concurrent_route_signing,concurrent_signed_route_number,direction_of_travel,direction_of_travel_name,fips_county_code,fips_state_code,functional_classification,functional_classification_name,hpms_sample_identifier,hpms_sample_type,lane_of_travel,lane_of_travel_name,latitude,longitude,lrs_identification,lrs_location_point,method_of_data_retrieval,method_of_data_retrieval_name,method_of_traffic_volume_counting,method_of_traffic_volume_counting_name,method_of_truck_weighing,method_of_truck_weighing_name,method_of_vehicle_classification,method_of_vehicle_classification_name,national_highway_system,number_of_lanes_in_direction_indicated,number_of_lanes_monitored_for_traffic_volume,number_of_lanes_monitored_for_truck_weight,number_of_lanes_monitored_for_vehicle_class,posted_route_signing,posted_signed_route_number,previous_station_id,primary_purpose,primary_purpose_name,record_type,sample_type_for_traffic_volume,sample_type_for_traffic_volume_name,sample_type_for_truck_weight,sample_type_for_truck_weight_name,sample_type_for_vehicle_classification,sample_type_for_vehicle_classification_name,second_type_of_sensor,shrp_site_identification,station_id,station_location,type_of_sensor,type_of_sensor_name,year_of_data,year_station_discontinued,year_station_established
788,,,,,1,2,00000074,7,West,21,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.5514,82.7311,001000004010,3515.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A1003,1.45 MILES EAST OF SR 1200 (WI,L,Inductance loop,15,0,54
793,,,,,15,2,00000074,3,East,39,37,5R,Rural: Major Collector,,N,1,Outside (rightmost) lane,35.2065,83.825,002000001919,39646.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000019,,P,Planning or traffic statistics purposes,S,,,,,,,L,1902,371902,0.20 MILES EAST OF SR 1388 (LO,P,Piezoelectric,15,10,0
798,,,,,1,0,00000000,7,West,63,37,5U,Urban: Collector,,N,0,Data with lanes combined,36.0575,78.9253,004000144331,342.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001443,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3102,0.20 MILES EAST OF NC 157 ( GU,L,Inductance loop,15,5,93
837,,,,,1,3,00000133,1,North,129,37,3U,Urban: Principal Arterial - Other,,N,0,Data with lanes combined,34.2524,77.9554,002000007464,1950.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000074,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6402,0.10 MILES EAST OF US 17,L,Inductance loop,15,5,58
846,,,,,15,0,00000000,5,South,71,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100659,Y,2,Other lanes,35.3124,81.1872,002000032135,18443.0,2,Automated (telemetry),0,,0,,0,,Y,3,3,3,3,2,00000321,,P,Planning or traffic statistics purposes,S,,,,,,,L,3501,373501,0.20 MILES SOUTH OF US 321 BUS,P,Piezoelectric,15,5,3
902,,,,,1,3,00000008,1,North,67,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100416,Y,0,Data with lanes combined,36.1585,80.255,002000005233,19337.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000052,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3302,0.60 MILES SOUTH OF NC 8 (GERM,L,Inductance loop,15,7,93
919,,,,,15,0,00000000,5,South,29,37,3R,Rural: Principal Arterial - Other,,N,2,Other lanes,36.5146,76.359,002000001714,11105.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000017,,P,Planning or traffic statistics purposes,S,,,,,,,L,1028,371402,0.50 MILES NORTH OF SR 1231 (M,P,Piezoelectric,15,11,4
925,,,,,1,0,00000000,1,North,143,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,36.2202,76.3812,002000001771,22352.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000017,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A7101,0.30 MILES WEST OF SR 1303 (WO,L,Inductance loop,15,0,54
945,,,,,15,0,00000000,5,South,133,37,7R,Rural: Local System,,N,1,Outside (rightmost) lane,34.8058,77.6637,004000124566,60.0,2,Automated (telemetry),0,,0,,0,,N,1,1,1,1,3,00001245,,P,Planning or traffic statistics purposes,S,,,,,,,L,0800,370800,0.05 MILES NORTH OF SR 1209 (C,P,Piezoelectric,15,7,0
976,,,,,15,2,00000158,5,South,139,37,3R,Rural: Principal Arterial - Other,,N,2,Other lanes,36.4085,76.3387,002000001769,28776.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000017,,P,Planning or traffic statistics purposes,S,,,,,,,L,1030,371030,0.45 MILES SOUTH OF US 158,P,Piezoelectric,15,9,4
980,,,,,15,0,00000000,7,West,183,37,1U,Urban: Principal Arterial - Interstate,000000100091,Y,1,Outside (rightmost) lane,35.7818,78.7493,001000004091,14179.0,2,Automated (telemetry),0,,0,,0,,Y,3,2,2,2,1,00000040,,P,Planning or traffic statistics purposes,S,,,,,,,L,9102,379102,0.80 MILES EAST OF NC 54 (CHAP,P,Piezoelectric,15,7,0
1023,,,,,15,2,00000220,5,South,81,37,1R,Rural: Principal Arterial - Interstate,,N,1,Outside (rightmost) lane,35.9462,79.8234,001000007340,3951.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000073,,P,Planning or traffic statistics purposes,S,,,,,,,L,2819,372819,1.70 MILES NORTH OF NC 64,P,Piezoelectric,15,9,4
1190,,,,,1,0,00000000,1,North,11,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,35.9469,82.0044,002500001905,2054.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,2,00000019,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A0501,0.10 MILES SOUTH OF SR 1103 (B,L,Inductance loop,15,0,54
1234,,,,,1,0,00000000,1,North,119,37,5U,Urban: Collector,,N,0,Data with lanes combined,35.2072,80.758,005000090259,4132.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,7,00000000,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5907,0.40 MILES NORTH OF NC 27 (ALB,L,Inductance loop,15,13,93
1321,,,,,1,0,00000000,1,North,147,37,4U,Urban: Minor Arterial,000000100914,Y,0,Data with lanes combined,35.5853,77.3631,003000004373,25863.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,3,00000043,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A7302,0.40 MILES EAST OF US 264A,L,Inductance loop,15,0,93
1347,,,,,15,2,00000441,7,West,99,37,3R,Rural: Principal Arterial - Other,,N,3,Other lanes,35.3878,83.2933,002000007449,10108.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000074,,P,Planning or traffic statistics purposes,S,,,,,,,L,1803,371803,0.20 MILES WEST OF SR 1392 (BA,P,Piezoelectric,15,3,2
1448,,,,,1,2,00000015,1,North,63,37,1U,Urban: Principal Arterial - Interstate,000000100124,Y,0,Data with lanes combined,36.0211,78.9074,001000008531,7889.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000085,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3101,0.10 MILES WEST OF US 501 (DUK,L,Inductance loop,15,2,93
1451,,,,,1,0,00000000,1,North,171,37,4R,Rural: Minor Arterial,,N,0,Data with lanes combined,36.3698,80.7108,002000060185,11971.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,2,00000601,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A8502,1.05 MILES NORTH OF SR 2223 (J,L,Inductance loop,15,0,93
1485,,,,,1,2,00000070,3,East,49,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,,N,0,Data with lanes combined,35.1067,77.0886,002000001724,13993.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000017,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A2401,0.30 MILES WEST OF US 17 BUSIN,L,Inductance loop,15,7,93
1486,,,,,15,0,00000000,1,North,185,37,1R,Rural: Principal Arterial - Interstate,,N,2,Other lanes,36.5358,78.1901,001000008592,15765.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000085,,P,Planning or traffic statistics purposes,S,,,,,,,L,9201,379201,0.10 MILES EAST OF US 1,P,Piezoelectric,15,8,0
1500,,,,,1,0,00000000,3,East,21,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.5613,82.602,001000024010,801.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000240,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A1001,0.70 MILES WEST OF NC 191 (BRE,L,Inductance loop,15,15,93
1549,,,,,1,0,00000000,3,East,87,37,4U,Urban: Minor Arterial,,N,0,Data with lanes combined,35.4761,82.9618,002000027643,30484.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,2,00000276,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A4301,0.06 MILES EAST OF SR 1812 (RA,L,Inductance loop,15,0,57
1625,,,,,1,0,00000000,3,East,119,37,7U,Urban: Local System,,N,0,Data with lanes combined,35.2845,80.8429,000000000000,,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,7,00000000,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5905,0.10 MILES EAST OF HUTCHINSON,L,Inductance loop,15,15,93
1637,,,,,15,0,00000000,5,South,155,37,1R,Rural: Principal Arterial - Interstate,000000100173,Y,1,Outside (rightmost) lane,34.5082,79.2992,001000009577,1089.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000095,,P,Planning or traffic statistics purposes,S,,,,,,,L,7701,377701,1.70 MILES SOUTH OF NC 130,P,Piezoelectric,15,3,0
1699,,,,,1,0,00000000,3,East,67,37,1U,Urban: Principal Arterial - Interstate,000000100043,Y,0,Data with lanes combined,36.04641,80.36744,001000004033,10129.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3301,1.25 MILES EAST OF SR1103 (LEW,L,Inductance loop,15,9,93
1781,,,,,1,2,20000074,5,South,173,37,5R,Rural: Major Collector,,N,0,Data with lanes combined,35.3614,83.5538,002000001986,18258.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,1,1,0,0,2,00000019,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A8602,0.30 MILES WEST OF NC 28,L,Inductance loop,15,0,54
1784,,,,,15,2,00000441,5,South,111,37,3U,Urban: Principal Arterial - Other,,N,2,Other lanes,35.2037,83.3599,002000002355,26531.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000023,,P,Planning or traffic statistics purposes,S,,,,,,,L,1814,371814,0.20 MILES SOUTH OF SR 1513 (R,P,Piezoelectric,15,7,3
1842,,,,,15,0,00000000,1,North,171,37,1R,Rural: Principal Arterial - Interstate,,N,1,Outside (rightmost) lane,36.4566,80.7694,001000007785,24116.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000077,,P,Planning or traffic statistics purposes,S,,,,,,,L,5826,375826,2.25 MILES SOUTH OF NC 89 (WES,P,Piezoelectric,15,11,3
1919,,,,,1,0,00000000,7,West,141,37,1R,Rural: Principal Arterial - Interstate,,N,0,Data with lanes combined,34.4511,77.8773,001000004070,31303.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,2,2,1,00000040,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,7001,0W7001,0.70 MILES WEST OF NC 210,L,Inductance loop,15,0,4
1932,,,,,15,2,00000021,1,North,119,37,1U,Urban: Principal Arterial - Interstate,,N,1,Outside (rightmost) lane,35.1222,80.9194,001000007759,2351.0,2,Automated (telemetry),0,,0,,0,,Y,3,4,4,4,1,00000077,,P,Planning or traffic statistics purposes,S,,,,,,,L,5902,375902,0.20 MILES SOUTH OF I-485,P,Piezoelectric,15,2,1
1965,,,,,1,0,00000000,3,East,135,37,5R,Rural: Major Collector,,N,0,Data with lanes combined,36.0829,79.1405,002000007067,11058.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,2,00000070,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6702,0.60 MILES WEST OF SR 1161 (WE,L,Inductance loop,15,5,54
2008,,,,,1,0,00000000,7,West,135,37,5R,Rural: Major Collector,,N,0,Data with lanes combined,36.0829,79.1405,002000007067,11058.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,2,2,0,0,2,00000070,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6702,0.60 MILES WEST OF SR 1161 (WE,L,Inductance loop,15,5,54
2040,,,,,15,0,00000000,5,South,167,37,3R,Rural: Principal Arterial - Other,,N,2,Other lanes,35.4492,80.2323,002000005283,33884.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000052,,P,Planning or traffic statistics purposes,S,,,,,,,L,1352,371352,0.60 MILES NORTH OF NC 8-740,P,Piezoelectric,15,9,0
2211,,,,,15,0,00000000,3,East,87,37,1U,Urban: Principal Arterial - Interstate,,N,2,Other lanes,35.5471,82.9329,001000004043,42521.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000040,,P,Planning or traffic statistics purposes,S,,,,,,,L,4301,374301,0.90 MILES WEST OF US 74,P,Piezoelectric,15,2,0
2222,,,,,15,0,00000000,1,North,157,37,3R,Rural: Principal Arterial - Other,,N,1,Outside (rightmost) lane,36.381,79.6118,002000002978,16729.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000029,,P,Planning or traffic statistics purposes,S,,,,,,,L,7802,377802,1.70 MILES NORTH OF US 158,P,Piezoelectric,15,2,97
2225,,,,,15,0,00000000,5,South,141,37,4R,Rural: Minor Arterial,,N,4,Other lanes,34.4518,78.0513,002000042170,13934.0,2,Automated (telemetry),0,,0,,0,,N,2,2,2,2,2,00000421,,P,Planning or traffic statistics purposes,S,,,,,,,L,7002,377002,0.40 MILES SOUTH OF NC 210,P,Piezoelectric,15,11,4
2338,,,,,15,0,00000000,3,East,141,37,1R,Rural: Principal Arterial - Interstate,,N,1,Outside (rightmost) lane,34.4511,77.8773,001000004070,31303.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000040,,P,Planning or traffic statistics purposes,S,,,,,,,L,7001,377001,0.70 MILES WEST OF NC 210,P,Piezoelectric,15,10,4
2436,,,,,15,0,00000000,5,South,29,37,3R,Rural: Principal Arterial - Other,,N,1,Outside (rightmost) lane,36.5146,76.359,002000001714,11105.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000017,,P,Planning or traffic statistics purposes,S,,,,,,,L,1028,371402,0.50 MILES NORTH OF SR 1231 (M,P,Piezoelectric,15,11,4
2502,,,,,1,0,00000000,1,North,183,37,3U,Urban: Principal Arterial - Other,,N,0,Data with lanes combined,35.8457,78.5799,002000000191,48047.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,2,00000001,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A9103,0.10 MILES NORTH OF CALVARY DR,L,Inductance loop,15,6,93
2560,,,,,1,2,00000601,1,North,159,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.6201,80.507,001000008579,15315.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000085,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A7901,0.10 MILES NORTH OF SR 2539 (P,L,Inductance loop,15,98,58
2571,,,,,15,0,00000000,7,West,97,37,1U,Urban: Principal Arterial - Interstate,,N,2,Other lanes,35.8061,80.8844,001000004048,18625.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,1,00000040,,P,Planning or traffic statistics purposes,S,,,,,,,L,4801,374801,0.50 MILES WEST OF US 21 (SULL,P,Piezoelectric,15,9,3
2650,,,,,1,0,00000000,3,East,65,37,7R,Rural: Local System,,N,0,Data with lanes combined,35.9067,77.7842,004000113532,9913.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001135,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3201,0.30 MILES EAST OF SR 1002 (OL,L,Inductance loop,15,0,93
2743,,,,,1,0,00000000,1,North,77,37,5R,Rural: Major Collector,,N,0,Data with lanes combined,36.2164,78.7239,004000100438,12387.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001004,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3801,0.10 MILES NORTH OF SR 1138 (C,L,Inductance loop,15,95,54
2757,,,,,1,0,00000000,7,West,45,37,3R,Rural: Principal Arterial - Other,,N,0,Data with lanes combined,35.2962,81.6717,002000007422,5503.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000074,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A2201,0.10 MILES WEST OF SR 1162 (PE,L,Inductance loop,15,0,54
2818,,,,,1,0,00000000,1,North,131,37,1R,Rural: Principal Arterial - Interstate,000000102531,Y,0,Data with lanes combined,36.5284,77.5848,001000009565,10021.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,1,00000095,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6501,0.10 MILES NORTH OF NC 48,L,Inductance loop,15,0,93
2851,,,,,1,3,00000016,5,South,119,37,1U,Urban: Principal Arterial - Interstate,,N,0,Data with lanes combined,35.2281,80.8291,001000027759,4742.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,1,00000277,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A5903,0.80 MILES SOUTH OF US 29 (GRA,L,Inductance loop,15,0,93
2922,,,,,15,0,00000000,7,West,21,37,1U,Urban: Principal Arterial - Interstate,,N,4,Other lanes,35.5736,82.5149,001000024010,12791.0,2,Automated (telemetry),0,,0,,0,,Y,3,3,3,3,1,00000240,,P,Planning or traffic statistics purposes,S,,,,,,,L,1003,371003,0.90 MILES EAST OF US 70 (TUNN,P,Piezoelectric,15,7,3
2925,,,,,15,0,00000000,5,South,37,37,3R,Rural: Principal Arterial - Other,000000102840,Y,2,Other lanes,35.7543,79.4565,002000042118,31572.0,2,Automated (telemetry),0,,0,,0,,Y,2,2,2,2,2,00000421,,P,Planning or traffic statistics purposes,S,,,,,,,L,1992,371992,1.20  MILES SOUTH OF SR 1362 (,P,Piezoelectric,15,8,3
2967,,,,,15,2,00000021,1,North,119,37,1U,Urban: Principal Arterial - Interstate,,N,7,Other lanes,35.1222,80.9194,001000007759,2351.0,2,Automated (telemetry),0,,0,,0,,Y,3,4,4,4,1,00000077,,P,Planning or traffic statistics purposes,S,,,,,,,L,5902,375902,0.20 MILES SOUTH OF I-485,P,Piezoelectric,15,2,1
2996,,,,,1,0,00000000,1,North,71,37,1U,Urban: Principal Arterial - Interstate,000000100134,Y,0,Data with lanes combined,35.2624,81.0548,001000008535,27345.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,3,3,0,0,1,00000085,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3503,0.70 MILES SOUTH OF SR 2093 (B,L,Inductance loop,15,7,93
3087,,,,,1,3,00000008,5,South,67,37,2U,Urban: Principal Arterial - Other Freeways or Expressways,000000100416,Y,0,Data with lanes combined,36.1585,80.255,002000005233,19337.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,Y,2,2,0,0,2,00000052,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3302,0.60 MILES SOUTH OF NC 8 (GERM,L,Inductance loop,15,7,93
3127,,,,,1,0,00000000,5,South,77,37,5R,Rural: Major Collector,,N,0,Data with lanes combined,36.2164,78.7239,004000100438,12387.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,3,00001004,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A3801,0.10 MILES NORTH OF SR 1138 (C,L,Inductance loop,15,95,54
3267,,,,,1,0,00000000,3,East,129,37,5U,Urban: Collector,,N,0,Data with lanes combined,34.1976,77.8629,005000090264,825.0,2,Automated (telemetry),3,Permanent automatic traffic recorder (ATR),0,,0,,N,1,1,0,0,7,00000000,,P,Planning or traffic statistics purposes,S,T,Station used for Traffic Volume Trends,,,,,N,,0A6408,0.50 MILES EAST OF PINE GROVE,L,Inductance loop,15,4,93
3286,,,,,15,0,00000000,7,West,21,37,1U,Urban: Principal Arterial - Interstate,,N,3,Other lanes,35.5736,82.5149,001000024010,12791.0,2,Automated (telemetry),0,,0,,0,,Y,3,3,3,3,1,00000240,,P,Planning or traffic statistics purposes,S,,,,,,,L,1003,371003,0.90 MILES EAST OF US 70 (TUNN,P,Piezoelectric,15,7,3
